#w  G'(w)  G"(w) eta(w)
0.0001 1.30134e-06 0.0472475 472.475
0.000141421 2.60267e-06 0.0668181 472.475
0.0002 5.20534e-06 0.094495 472.475
0.000282843 1.04106e-05 0.133636 472.475
0.0004 2.08211e-05 0.18899 472.475
0.000565685 4.16416e-05 0.267272 472.475
0.0008 8.32806e-05 0.37798 472.475
0.00113137 0.000166551 0.534543 472.474
0.0016 0.000333062 0.755956 472.473
0.00226274 0.00066596 1.06908 472.471
0.0032 0.00133127 1.51189 472.466
0.00452548 0.00265996 2.1381 472.457
0.0064 0.00530968 3.02361 472.44
0.00905097 0.0105792 4.27571 472.405
0.0128 0.0210033 6.04588 472.337
0.0181019 0.0414285 8.5478 472.209
0.0256 0.0808244 12.0823 471.976
0.0362039 0.15514 17.0723 471.579
0.0512 0.291908 24.1111 470.955
0.0724077 0.538464 34.0306 470.045
0.1024 0.976181 47.9929 468.777
0.144815 1.74192 67.6148 467.058
0.2048 3.05944 95.1383 464.783
0.289631 5.28858 133.662 461.851
0.4096 9.0037 187.453 458.176
0.579262 15.1154 262.364 453.679
0.8192 25.0565 366.377 448.283
1.15852 41.0663 510.321 441.917
1.6384 66.6205 708.775 434.509
2.31705 107.071 981.21 425.988
3.2768 170.588 1353.37 416.284
4.6341 269.528 1858.89 405.329
6.5536 422.362 2541.05 393.053
9.26819 656.232 3454.43 379.385
13.1072 1010.11 4666.43 364.266
18.5364 1538.44 6258.26 347.672
26.2144 2315.19 8325.5 329.644
37.0728 3438.34 10978.1 310.306
52.4288 5034.57 14338.9 289.861
74.1455 7263.58 18541.7 268.575
104.858 10322.2 23727.7 246.77
148.291 14448.6 30040.9 224.794
209.715 19925.9 37619.8 202.994
296.582 27081.8 46586.1 181.69
419.43 36284.2 57032.5 161.162
593.164 47930.2 69009.8 141.65
838.861 62432.1 82520.3 123.353
1186.33 80202.6 97510.7 106.427
1677.72 101634 113868 90.9735
2372.66 127076 131426 77.0505
3355.44 156824 149981 64.6703
4745.31 191113 169295 53.8033
6710.89 230103 189108 44.3818
9490.63 273876 209160 36.3105
13421.8 322461 229215 29.4765
18981.3 375879 249042 23.7548
26843.5 434150 268334 19.0132
37962.5 497187 286649 15.1176
53687.1 564669 303493 11.9407
75925 636061 318494 9.36904
107374 710748 331436 7.30369
151850 788067 342204 5.65794
214748 867260 350842 4.35643
303700 947598 357678 3.33505
429497 1.02859e+06 363258 2.53984
607400 1.11005e+06 368137 1.92543
858993 1.19196e+06 372728 1.45388
1.2148e+06 1.2743e+06 377335 1.094
1.71799e+06 1.357e+06 382258 0.820619
2.4296e+06 1.43993e+06 387906 0.613791
3.43597e+06 1.52295e+06 394878 0.457892
4.8592e+06 1.60591e+06 404039 0.340789
6.87195e+06 1.68875e+06 416595 0.253113
9.7184e+06 1.77144e+06 434212 0.187672
1.37439e+07 1.85403e+06 459195 0.138974
1.94368e+07 1.93672e+06 494735 0.102841
2.74878e+07 2.01993e+06 545211 0.0761144
3.88736e+07 2.10441e+06 616569 0.0564103
5.49756e+07 2.19126e+06 716873 0.0419376
7.77472e+07 2.28209e+06 857154 0.0313548
1.09951e+08 2.37924e+06 1.05262e+06 0.0236622
1.55494e+08 2.4864e+06 1.3243e+06 0.018117
2.19902e+08 2.60967e+06 1.70111e+06 0.0141661
3.10989e+08 2.75936e+06 2.2225e+06 0.011393
4.39805e+08 2.95335e+06 2.94145e+06 0.00947754
6.21978e+08 3.22293e+06 3.92684e+06 0.00816765
8.79609e+08 3.6207e+06 5.26176e+06 0.00726134
1.24396e+09 4.22472e+06 7.03631e+06 0.00659766
1.75922e+09 5.13435e+06 9.34311e+06 0.00606003
2.48791e+09 6.46829e+06 1.22832e+07 0.00557986
3.51844e+09 8.37584e+06 1.59704e+07 0.00512543
4.97582e+09 1.1051e+07 2.05207e+07 0.00468408
7.03687e+09 1.47353e+07 2.60302e+07 0.00425069
9.95164e+09 1.97035e+07 3.2554e+07 0.00382374
1.40737e+10 2.62374e+07 4.00971e+07 0.00340481
