"year","faculty","sex","survive","total"
1938,"M","M",14,23
1939,"M","M",7,12
1940,"M","M",15,20
1941,"M","M",17,23
1942,"M","M",33,47
1943,"M","M",12,17
1944,"M","M",17,33
1945,"M","M",12,16
1946,"M","M",25,39
1947,"M","M",29,42
1938,"A","M",14,23
1939,"A","M",14,25
1940,"A","M",16,28
1941,"A","M",4,7
1942,"A","M",7,11
1943,"A","M",16,24
1944,"A","M",6,10
1945,"A","M",17,26
1946,"A","M",0,0
1947,"A","M",16,22
1938,"S","M",12,14
1939,"S","M",10,14
1940,"S","M",15,19
1941,"S","M",11,15
1942,"S","M",19,30
1943,"S","M",15,22
1944,"S","M",16,24
1945,"S","M",26,34
1946,"S","M",8,9
1947,"S","M",24,29
1938,"E","M",13,15
1939,"E","M",3,3
1940,"E","M",13,17
1941,"E","M",8,10
1942,"E","M",8,11
1943,"E","M",1,1
1944,"E","M",15,21
1945,"E","M",24,30
1946,"E","M",0,0
1947,"E","M",27,35
1938,"A","F",12,16
1939,"A","F",11,13
1940,"A","F",14,20
1941,"A","F",17,19
1942,"A","F",11,14
1943,"A","F",11,15
1944,"A","F",16,23
1945,"A","F",12,16
1946,"A","F",1,1
1947,"A","F",12,14
1938,"S","F",2,2
1939,"S","F",5,5
1940,"S","F",1,1
1941,"S","F",2,2
1942,"S","F",4,5
1943,"S","F",7,8
1944,"S","F",3,3
1945,"S","F",15,16
1946,"S","F",2,3
1947,"S","F",10,11
