Code,Question,Group,
A1.1,What is your nationality?,1. Socio-demographic profiles,
A1.2,Region: generated from A1.1,1. Socio-demographic profiles,
A2,What is your biological sex?,1. Socio-demographic profiles,
A3,What is the highest educational level you have completed,1. Socio-demographic profiles,
A4,Do you have a pet or  a garden at home?,1. Socio-demographic profiles,
A5,What is your age?,1. Socio-demographic profiles,
A6,Please specify your ethnicity.,1. Socio-demographic profiles,
A7,What is your marital status?,1. Socio-demographic profiles,
A8,Employment Status: Are you currently…?,1. Socio-demographic profiles,
B1,Are you currently self-isolated/ social distancing?,2.COVID-19 Concern,
B2,"How long have you been self-isolated/ social distancing? (please tick ""no"", if you are not currently self-isolated)",2.COVID-19 Concern,
B3,How much are you worried about the COVID-19 outbreak?,2.COVID-19 Concern,
C1,How much do you agree with the following statements? [We are approaching the limit of the number of people the earth can support],3.Environmental perception,
C2,How much do you agree with the following statements? [Humans have the right to modify the natural environment to suit their needs.],3.Environmental perception (Reverse scale),
C3,How much do you agree with the following statements? [When humans interfere with nature it often produces disastrous consequences.],3.Environmental perception,
C4,How much do you agree with the following statements? [Human ingenuity will insure that we do not make the Earth unlivable],3.Environmental perception (Reverse scale),
C5,How much do you agree with the following statements? [Humans are seriously abusing the environment.],3.Environmental perception,
C6,How much do you agree with the following statements? [The Earth has plenty of natural resources if we just learn how to develop them.],3.Environmental perception (Reverse scale),
C7,How much do you agree with the following statements? [Plants and animals have as much right as humans to exist.],3.Environmental perception,
C8,How much do you agree with the following statements? [The balance of nature is strong enough to cope with the impacts of modern industrial nations],3.Environmental perception (Reverse scale),
C9,"How much do you agree with the following statements? [Despite our special abilities, humans are still subject to the laws of nature.]",3.Environmental perception,
C10,How much do you agree with the following statements? [The so-called “ecological crisis” facing humankind has been greatly exaggerated.],3.Environmental perception (Reverse scale),
C11,How much do you agree with the following statements? [The Earth is like a spaceship with very limited room and resources.],3.Environmental perception,
C12,How much do you agree with the following statements? [Humans were meant to rule over the rest of nature.],3.Environmental perception (Reverse scale),
C13,How much do you agree with the following statements? [The balance of nature is very delicate and easily upset.],3.Environmental perception,
C14,How much do you agree with the following statements? [Humans will eventually learn enough about how nature works to be able to control it.],3.Environmental perception (Reverse scale),
