,Gamer_ID,Date of Entry,A1_1,Grouped A1_1,A1_2,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,C1,C2,CC2,C3,C4,Corrected C4,C5,C6,CC6,C7,C8,CC8,C9,C10,CC10,C11,C12,CC12,C13,C14,CC14,C15,Weighted Score,Good or Bad,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,Action,Adventure,FPS,Fighting,Pointandclick,RPG,Simulation,Sports,Story-driven,Strategy,Variedthemesallinonegameex:recroom,puzzle,vrchat
0,1,5/15/2020 14:20,USA,American,US/Canada,Male,Undergraduate school,None,22,Asian,"Single, never married",Employed for wages,Yes,More than a month,A little,4,3,2,4,3,2,4,2,3,4,4,1,4,3,2,4,4,1,4,3,2,4,3,Bad,More than 3 years,"Adventure, RPG, Simulation, Strategy",Every week,1.5,6. Less than every month,Terraforming,Other,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No
1,2,5/15/2020 18:37,Vietnam,Vietnamese,Asia,Female,Undergraduate school,A garden,23,Asian,"Single, never married",A student,Yes,More than a month,Worried,3,2,3,4,3,2,4,2,3,5,3,2,4,4,1,2,4,1,2,3,2,4,2.8,Bad,1-2 years,"Adventure, Simulation, Strategy, puzzle, trivia",Almost everyday,1.5,2. Almost everyday,Planting trees/flowers,rustic,4,4,4,1,2,5,4,5,5,3,2,4,1,3,3,4,3,4,2,4,3,2,2,1,4,3,2,3,4,3,4,4,4,3,2,3,2,3,2,5,2,3,3,1,3,4,5,4,3,2,3,2,3,3,4,3,2,3,2,2,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No
2,3,5/16/2020 0:21,Vietnam,Vietnamese,Asia,Female,High school,A garden,23,Asian,"Single, never married",A student,Yes,More than a month,Worried,3,4,1,3,3,2,4,2,3,4,3,2,4,4,1,4,4,1,3,3,2,4,2.733333333,Bad,More than 3 years,"Adventure, RPG, Strategy",Every week,3.5,1. Everyday,Planting trees/flowers,Anime theme/One piece/ Persona 5,4,4,3,3,3,5,5,5,5,4,3,4,2,2,3,3,2,2,3,4,4,4,3,2,4,4,2,3,4,4,4,5,4,5,1,3,2,4,1,4,2,5,4,2,4,4,4,5,3,2,2,1,3,3,4,4,1,4,2,2,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No
3,4,5/16/2020 0:25,Vietnam,Vietnamese,Asia,Female,Graduate school and higher,A pet,31,Asian,"Single, never married",Employed for wages,No,No self-isolation/social distancing,Worried,3,3,2,3,3,2,3,3,2,5,3,2,3,3,2,5,5,0,3,3,2,5,2.8,Bad,More than 3 years,"Adventure, RPG, Simulation, Strategy",Everyday,3.5,1. Everyday,Terraforming,Japan style,2,2,3,3,3,3,3,3,2,3,1,3,1,1,2,2,2,2,2,2,3,2,3,1,1,3,1,2,2,2,3,3,2,3,1,1,1,1,1,2,2,3,2,1,1,1,2,3,1,1,2,1,2,2,2,2,1,2,1,1,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No
4,5,5/16/2020 0:26,Vietnam,Vietnamese,Asia,Male,Graduate school and higher,A pet,21,Asian,"Single, never married",A student,Yes,More than a month,A little,1,4,1,3,3,2,1,4,1,1,4,1,1,3,2,1,4,1,3,4,1,1,1.4,Bad,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Almost everyday,2.5,2. Almost everyday,Terraforming,Other,2,3,3,3,2,3,4,4,3,3,4,4,3,2,3,4,2,4,3,2,2,1,3,3,2,3,3,2,3,2,2,3,2,3,1,2,3,3,2,3,2,2,2,3,2,3,2,2,1,2,1,1,2,1,2,1,1,2,2,1,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No
5,6,5/16/2020 0:29,Vietnam,Vietnamese,Asia,Female,High school,A pet,27,Asian,"Single, never married",Employed for wages,No,No self-isolation/social distancing,Very worried,5,5,0,5,5,0,5,4,1,5,5,0,5,5,0,5,5,0,3,5,0,5,2.6,Bad,More than 3 years,"RPG, Simulation, Strategy, FPS",Every week,1.5,2. Almost everyday,Terraforming,Country,2,3,3,4,2,5,3,4,4,4,3,4,1,2,4,3,2,2,3,4,3,4,2,1,2,3,4,4,5,4,3,4,4,5,1,1,2,1,1,2,2,4,3,1,5,5,5,5,3,1,1,1,2,3,3,3,1,4,1,1,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No
6,7,5/16/2020 0:30,Vietnam,Vietnamese,Asia,Male,Graduate school and higher,A garden,26,Asian,"Single, never married",Employed for wages,No,No self-isolation/social distancing,Worried,4,2,3,2,2,3,2,3,2,4,3,2,3,2,3,3,2,3,2,3,2,5,2.866666667,Bad,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Everyday,3.5,2. Almost everyday,Catching bugs,Land with many waterfall around,4,3,3,3,4,5,4,4,5,3,4,4,3,2,3,2,3,2,4,4,3,4,3,4,3,2,4,4,4,4,5,4,4,5,1,3,4,5,3,5,4,5,5,3,5,4,5,5,5,3,1,1,4,4,4,5,1,5,3,1,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No
7,8,5/16/2020 0:34,Vietnam,Vietnamese,Asia,Female,High school,None,26,Asian,"Single, never married",Employed for wages,No,No self-isolation/social distancing,A little,3,3,2,4,3,2,4,2,3,4,4,1,3,3,2,4,4,1,3,3,2,3,2.733333333,Bad,More than 3 years,"Action, RPG, Simulation, Sports",Every week,3.5,1. Everyday,Fishing,Outdoorsy,4,4,2,4,2,4,4,4,3,4,2,4,1,2,3,3,2,3,3,2,2,2,2,3,2,2,2,2,3,2,4,3,2,3,1,2,2,2,3,3,2,3,3,2,2,2,3,3,2,1,1,1,1,2,2,2,1,2,1,2,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
8,9,5/16/2020 0:36,Vietnam,Vietnamese,Asia,Male,Undergraduate school,None,20,Asian,"Single, never married",A student,No,No self-isolation/social distancing,Worried,3,3,2,4,2,3,4,1,4,3,4,1,5,3,2,4,3,2,4,1,4,4,3.266666667,Good,More than 3 years,"Action, Adventure, RPG, Strategy",Everyday,3.5,1. Everyday,Terraforming,Asymmetric,4,4,3,2,2,5,4,3,4,4,2,3,2,1,2,2,2,4,3,3,2,2,3,4,4,4,4,4,4,4,3,5,5,5,1,3,1,3,2,5,4,4,3,2,4,5,3,5,5,1,1,1,3,2,4,4,2,3,2,1,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No
9,10,5/16/2020 0:42,Vietnam,Vietnamese,Asia,Female,Undergraduate school,None,20,Asian,"Single, never married",Employed for wages,Yes,More than a month,Worried,5,4,1,5,1,4,5,1,4,5,4,1,5,5,0,5,5,0,5,5,0,5,3.333333333,Good,More than 3 years,"Action, RPG, Simulation, Strategy",Everyday,7.5,1. Everyday,Fishing,Natural,4,4,2,3,4,5,5,3,3,4,1,4,1,1,2,4,2,1,4,2,2,1,1,1,4,4,4,4,5,5,5,5,5,5,1,3,1,5,1,5,4,5,5,1,5,5,5,5,3,1,1,1,5,4,5,5,1,5,1,1,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No
