,�..O1,A1_1,A1_2,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32
598,5/29/2020 8:11,Filipino ,Asia,Male,Secondary school,A pet,11,Asian,"Single, never married",A student,Yes,More than a month,Worried,4,3,5,1,5,2,4,3,3,4,5,5,3,4,4,More than 3 years,"Action, Adventure, Simulation",Almost everyday,Playing alot of video games do to the pandemic ,1. Everyday,Fishing,After k.k. slider finishes his concert,4,4,4,1,3,5,3,3,2,4,3,4,1,2,4,4,4,3,4,4,3,3,2,1,4,4,3,4,5,5,4,5,5,5,1,4,2,1,3,3,5,5,4,2,3,4,4,4,2,3,1,2,5,4,5,4,1,5,1,1
230,5/23/2020 1:54,American,US/Canada,Male,Secondary school,Both,13,White,"Single, never married",A student,Yes,More than a month,Worried,4,2,5,5,5,3,5,5,5,5,5,5,5,3,5,More than 3 years,"Action, Adventure, Simulation, Strategy, Varied themes all in one game ex: rec room, vr chat,",Everyday,"6-7, hours, possibly more on occasion",2. Almost everyday,Fishing,Trying to keep the natural form of the island but making some parts industrial,4,4,3,2,3,5,5,5,4,4,2,4,4,2,2,2,2,2,2,3,4,3,3,3,4,4,3,4,5,3,4,5,5,5,2,2,1,4,1,5,1,5,4,1,5,5,5,5,5,2,1,1,4,2,5,4,2,4,1,4
232,5/23/2020 2:01,American,US/Canada,Male,Secondary school,Both,13,White,"Single, never married",A student,Yes,More than a month,A little,5,2,5,4,5,3,5,5,5,5,5,5,5,3,5,More than 3 years,"Action, Adventure, Strategy, Creation games ex: rec room vrchat",Everyday,"6-7 hours, more on occasion",2. Almost everyday,Fishing,Keeping the natural theme of the original island but adding industrial parts to it,4,4,4,3,4,5,5,5,4,4,2,4,4,2,3,2,2,2,2,3,4,3,4,3,4,4,4,4,5,3,5,5,4,5,2,2,2,4,2,5,2,5,4,2,4,5,5,5,5,2,1,1,4,1,5,3,2,5,2,4
308,5/25/2020 1:34,Filipino,Asia,Female,High school,A pet,13,Asian,"Single, never married",A student,Yes,More than a month,Worried,4,4,5,3,4,1,5,4,4,3,5,5,5,2,5,More than 3 years,Adventure,Everyday,3-4 hours,1. Everyday,Planting trees/flowers,Naturalistic vibe,3,4,4,4,3,5,5,5,5,4,3,3,3,2,4,4,3,1,3,4,3,4,2,1,4,4,3,4,5,5,5,5,5,5,2,2,3,4,2,5,1,4,4,1,5,5,5,5,4,2,3,2,3,4,5,5,2,5,1,2
231,5/23/2020 2:00,Mexican American ,US/Canada,Male,Secondary school,A pet,14,Hispanic or Latino,"Single, never married",A student,Yes,More than 3 weeks,A little,3,4,3,1,5,1,3,4,5,3,3,4,4,2,4,More than 3 years,"Action, Adventure, Simulation, Strategy",Everyday,Somewhere in the 30 hour range ,1. Everyday,Terraforming,I go for mostly a more grassy type style,4,3,3,4,2,5,5,5,2,4,2,3,1,2,2,4,3,1,3,3,2,2,2,2,4,3,2,2,5,4,3,5,4,4,1,1,1,4,2,4,5,4,4,1,5,4,4,5,3,2,5,4,4,3,4,4,1,5,5,5
529,5/25/2020 21:39,Filipino,Asia,Female,High school,A pet,14,Other,"Single, never married",A student,Yes,More than a month,Very worried,2,4,4,3,2,3,5,3,3,3,3,5,3,2,2,1-2 years,"Action, Adventure, RPG, Simulation, Strategy",Almost everyday,3-4 hours,2. Almost everyday,Terraforming,Putting paths,3,3,4,4,4,3,3,2,3,4,3,4,1,2,3,4,4,2,1,4,4,1,1,3,4,4,3,4,5,4,3,4,5,4,2,3,2,5,2,5,3,4,2,2,3,4,5,4,4,2,2,2,2,2,4,5,2,4,3,2
84,5/21/2020 0:34,British ,EU,Male,Primary school,A pet,15,White,"Single, never married",A student,Yes,More than 3 weeks,A little,3,2,3,4,5,2,5,4,4,5,4,5,5,3,5,More than 3 years,"Action, Adventure, RPG, Strategy",Almost everyday,3-4 hours,1. Everyday,Terraforming,Natural ,3,2,4,4,3,4,4,4,4,4,1,4,1,3,3,4,2,3,2,4,4,3,1,3,4,4,3,3,5,4,2,5,5,4,1,2,1,5,1,5,4,5,4,1,2,2,2,5,5,1,1,1,4,2,4,4,1,4,3,1
229,5/23/2020 1:50,American,US/Canada,Male,High school,Both,15,White,"Single, never married",A student,Yes,More than a month,A little,4,3,5,4,5,1,5,5,4,5,5,4,3,3,5,More than 3 years,"Adventure, Simulation, puzzle",Everyday,3-4 hours,2. Almost everyday,Catching bugs,I like to make my villagers have their own cool areas to live in,4,3,2,4,3,5,4,5,2,4,1,4,2,1,3,4,4,1,3,4,3,4,1,1,4,4,1,1,5,5,1,5,5,5,1,4,3,5,1,5,3,5,5,2,4,5,3,5,5,1,5,3,5,1,5,5,3,5,3,3
243,5/23/2020 13:07,american,US/Canada,Female,Secondary school,Both,15,White,"Single, never married",A student,Yes,More than a month,Worried,3,4,4,4,5,1,4,3,4,5,2,4,3,4,4,More than 3 years,"Action, Adventure, RPG, Simulation",Everyday,50+,1. Everyday,Fishing,"cute, but elegant",3,4,3,2,3,5,5,5,5,4,1,4,1,2,2,3,2,4,3,4,4,4,2,1,2,4,3,4,5,3,4,5,5,5,1,2,2,4,2,5,2,4,3,2,3,4,5,5,5,1,3,2,4,4,5,4,2,4,2,3
28,5/16/2020 9:04,Vietnamese,Asia,Male,High school,A garden,16,Asian,"Single, never married",A student,No,No self-isolation/social distancing,A little,3,2,2,2,5,1,3,3,3,3,5,1,4,3,4,More than 3 years,"Action, Adventure, Simulation, Strategy",Almost everyday,1-2 hours,5. Every month,Terraforming,Forest,3,3,4,4,1,3,3,3,4,2,3,2,2,1,4,4,4,3,3,4,2,3,1,2,2,2,2,2,4,3,4,4,3,5,1,1,2,1,1,5,2,5,3,1,4,4,4,5,3,1,1,1,2,2,4,3,1,4,1,1
